BUKRS,WERKS,KOSTL,MATNR,MAKTX,LIFNR,MENGE,MEINS,NETWR,WAERS,BUDAT,BELNR
1000,PL02,CC-MFG-02,MAT-P007,Biomass Pellets,VEND-100,1720.6,TO,10870.08,INR,08/08/2025,PO-4563250912
1000,PL02,CC-LOG-03,MAT-P004,Industrial Solvent,VEND-100,1127.06,KG,8025.96,INR,06/12/2025,PO-4591118462
1000,PL02,CC-MFG-02,MAT-P006,Fuel Additive,VEND-103,1793.61,L,10238.58,INR,29.04.2026,PO-4589244777
1000,PL02,CC-MFG-02,MAT-P002,Lubricant Oil,VEND-202,334.42,L,928.0,INR,14/05/2026,PO-4568875076
1000,PL02,CC-LOG-03,MAT-P004,Industrial Solvent,VEND-104,298.67,KG,2159.78,INR,15.12.2025,PO-4558401533
1000,PL02,CC-LOG-03,MAT-P004,Industrial Solvent,VEND-103,0,KG,4326.77,INR,2026-05-06,PO-4558856857
1000,PL02,CC-OPS-01,MAT-P001,Diesel Drums 200L,VEND-202,574.52,EA,5147.13,INR,20260509,PO-4555273203
1000,PL02,CC-OPS-01,MAT-P008,Generator Diesel,VEND-202,1351.21,L,12951.96,INR,20260314,PO-4592893453
1000,PL02,CC-LOG-03,MAT-P005,Refrigerant R-410A,,1228.69,KG,3406.44,INR,20260412,PO-4519703448
1000,PL02,CC-MFG-02,MAT-P008,Generator Diesel,VEND-100,1441.57,L,8476.5,INR,20260111,PO-4531183985
1000,PL02,CC-OPS-01,MAT-P004,Industrial Solvent,VEND-103,1319.93,KG,4363.89,INR,30.07.2025,PO-4569330847
1000,PL02,CC-MFG-02,MAT-P004,Industrial Solvent,VEND-200,254.78,KG,1793.34,INR,2026-05-20,PO-4517300547
1000,PL02,CC-OPS-01,MAT-P002,Lubricant Oil,,265.45,L,512.25,INR,17/07/2025,PO-4554078280
1000,PL03,CC-OPS-01,MAT-P003,Compressed Gas Cylinder,,0,EA,3852.47,INR,10/06/2025,PO-4538684878
1000,PL03,CC-LOG-03,MAT-P004,Industrial Solvent,,373.27,KG,3804.78,INR,20250625,PO-4532231986
1000,PL03,CC-MFG-02,MAT-P005,Refrigerant R-410A,VEND-103,809.13,KG,3265.68,INR,2026-01-22,PO-4558925742
1000,PL03,CC-OPS-01,MAT-P008,Generator Diesel,VEND-103,1855.17,L,20000.43,INR,13.05.2026,PO-4541837500
1000,PL03,CC-LOG-03,MAT-P005,Refrigerant R-410A,VEND-104,115.29,KG,1253.21,INR,2026-03-22,PO-4582824469
1000,PL03,CC-OPS-01,MAT-P005,Refrigerant R-410A,VEND-104,1707.19,KG,3556.25,INR,17/06/2026,PO-4564747685
1000,PL03,CC-UTIL-04,MAT-P001,Diesel Drums 200L,VEND-100,1711.76,EA,9474.73,INR,26.11.2025,PO-4565616782
1000,PL03,CC-UTIL-04,MAT-P007,Biomass Pellets,VEND-201,1678.68,TO,18677.61,INR,20/02/2026,PO-4549519692
1000,PL03,CC-UTIL-04,MAT-P004,Industrial Solvent,VEND-102,1384.45,KG,6213.0,INR,04/11/2025,PO-4531031029
1000,PL03,CC-OPS-01,MAT-P007,Biomass Pellets,,1762.31,TO,12368.78,INR,2026-06-18,PO-4538389491
1000,PL03,CC-MFG-02,MAT-P008,Generator Diesel,VEND-200,1270.04,L,10216.61,INR,18.03.2026,PO-4559417602
1000,PL03,CC-OPS-01,MAT-P002,Lubricant Oil,VEND-101,807.76,L,6481.84,INR,2025-09-22,PO-4536505919
1000,PL03,CC-UTIL-04,MAT-P006,Fuel Additive,,1669.06,L,5387.46,INR,2026-04-17,PO-4523210100
1000,PL04,CC-MFG-02,MAT-P001,Diesel Drums 200L,VEND-100,780.92,EA,8016.86,EUR,04.04.2026,PO-4575484441
1000,PL04,CC-OPS-01,MAT-P005,Refrigerant R-410A,VEND-103,1081.78,KG,8232.05,EUR,14.06.2025,PO-4518839054
1000,PL04,CC-UTIL-04,MAT-P001,Diesel Drums 200L,,1140.89,EA,11611.93,EUR,26/03/2026,PO-4524685349
1000,PL04,CC-OPS-01,MAT-P003,Compressed Gas Cylinder,VEND-100,412.03,EA,2777.16,EUR,22/09/2025,PO-4524046829
1000,PL04,CC-MFG-02,MAT-P001,Diesel Drums 200L,VEND-104,63.81,EA,311.51,EUR,2026-03-08,PO-4533026766
1000,PL04,CC-UTIL-04,MAT-P004,Industrial Solvent,VEND-200,675.01,KG,6489.07,EUR,02/08/2025,PO-4530335501
1000,PL04,CC-MFG-02,MAT-P005,Refrigerant R-410A,VEND-102,624.13,KG,2808.94,EUR,20251022,PO-4550688216
1000,PL04,CC-UTIL-04,MAT-P002,Lubricant Oil,VEND-104,1079.15,L,10953.48,EUR,23.02.2026,PO-4516821571
1000,PL04,CC-MFG-02,MAT-P002,Lubricant Oil,VEND-100,206.8,L,2265.8,EUR,2025-11-05,PO-4508185924
1000,PL04,CC-LOG-03,MAT-P006,Fuel Additive,,1248.82,L,10881.62,EUR,20260211,PO-4523152427
1000,PL04,CC-UTIL-04,MAT-P001,Diesel Drums 200L,VEND-103,802.64,EA,9623.8,EUR,10.09.2025,PO-4531041537
1000,PL04,CC-UTIL-04,MAT-P006,Fuel Additive,VEND-103,386.72,L,2593.94,EUR,05/07/2025,PO-4509282367
1000,PL04,CC-OPS-01,MAT-P007,Biomass Pellets,VEND-200,1353.02,TO,7069.32,EUR,07/05/2026,PO-4546656017
1000,PL05,CC-LOG-03,MAT-P006,Fuel Additive,VEND-201,1936.82,L,4090.82,USD,29.09.2025,PO-4523391422
1000,PL05,CC-OPS-01,MAT-P004,Industrial Solvent,VEND-104,1814.53,KG,5298.58,USD,05.09.2025,PO-4547873211
1000,PL05,CC-LOG-03,MAT-P001,Diesel Drums 200L,VEND-200,1871.25,EA,14810.25,USD,18/06/2025,PO-4519534883
1000,PL05,CC-OPS-01,MAT-P007,Biomass Pellets,VEND-201,1359.66,TO,9433.81,USD,31/01/2026,PO-4549785557
1000,PL05,CC-LOG-03,MAT-P004,Industrial Solvent,VEND-101,508.7,KG,2529.74,USD,20260228,PO-4541290824
1000,PL05,CC-OPS-01,MAT-P005,Refrigerant R-410A,VEND-103,346.64,KG,585.76,USD,02/02/2026,PO-4584890044
1000,PL05,CC-UTIL-04,MAT-P007,Biomass Pellets,VEND-201,210.87,TO,1074.42,USD,2026-04-06,PO-4596038454
1000,PL05,CC-UTIL-04,MAT-P006,Fuel Additive,VEND-104,1466.9,L,3274.27,USD,20260401,PO-4556202655
1000,PL05,CC-MFG-02,MAT-P004,Industrial Solvent,VEND-101,350.79,EA,1356.16,USD,06/03/2026,PO-4525407309
1000,PL05,CC-LOG-03,MAT-P007,Biomass Pellets,VEND-101,1640.14,TO,18983.04,USD,01/10/2025,PO-4591414708
1000,PL05,CC-LOG-03,MAT-P003,Compressed Gas Cylinder,,217.59,EA,782.3,USD,20250702,PO-4596891425
1000,PL05,CC-MFG-02,MAT-P003,Compressed Gas Cylinder,VEND-100,731.5,EA,5761.22,USD,2025-06-27,PO-4588874182
1000,PL05,CC-UTIL-04,MAT-P001,Diesel Drums 200L,VEND-202,1772.54,EA,6463.13,USD,16.02.2026,PO-4556831784
1000,PL06,CC-OPS-01,MAT-P003,Compressed Gas Cylinder,VEND-200,791.51,EA,8010.3,EUR,20250717,PO-4568958961
1000,PL06,CC-LOG-03,MAT-P001,Diesel Drums 200L,VEND-102,847.95,EA,6045.18,EUR,2025-10-03,PO-4595098965
1000,PL06,CC-OPS-01,MAT-P002,Lubricant Oil,VEND-103,404.76,L,3453.65,EUR,20260222,PO-4517390283
1000,PL06,CC-MFG-02,MAT-P005,Refrigerant R-410A,VEND-101,0,KG,1786.85,EUR,14.04.2026,PO-4566351291
1000,PL06,CC-MFG-02,MAT-P008,Generator Diesel,VEND-200,270.62,L,2755.41,EUR,03/06/2025,PO-4539449948
1000,PL06,CC-OPS-01,MAT-P003,Compressed Gas Cylinder,VEND-104,149.42,EA,1456.4,EUR,20260223,PO-4516203582
1000,PL06,CC-LOG-03,MAT-P002,Lubricant Oil,,192.59,L,573.01,EUR,20250709,PO-4584141191
1000,PL06,CC-LOG-03,MAT-P001,Diesel Drums 200L,VEND-101,1795.0,EA,5120.48,EUR,20250815,PO-4565611403
1000,PL06,CC-MFG-02,MAT-P006,Fuel Additive,,1533.22,L,13857.66,EUR,13/10/2025,PO-4576233460
1000,PL06,CC-MFG-02,MAT-P003,Compressed Gas Cylinder,VEND-100,405.54,EA,2502.85,EUR,18.01.2026,PO-4505088225
1000,PL06,CC-UTIL-04,MAT-P003,Compressed Gas Cylinder,VEND-104,919.43,EA,4538.3,EUR,21/08/2025,PO-4547602830
1000,PL06,CC-LOG-03,MAT-P005,Refrigerant R-410A,VEND-103,543.73,KG,2212.53,EUR,20251203,PO-4570425100
1000,PL06,CC-UTIL-04,MAT-P003,Compressed Gas Cylinder,,672.83,EA,1738.63,EUR,26.07.2025,PO-4586969917
1000,PL01,CC-LOG-03,MAT-P005,Refrigerant R-410A,,708.24,KG,1564.72,INR,2025-08-19,PO-4507716624
1000,PL01,CC-UTIL-04,MAT-P006,Fuel Additive,VEND-101,1091.67,L,9685.83,INR,12.10.2025,PO-4592042245
1000,PL01,CC-OPS-01,MAT-P005,Refrigerant R-410A,VEND-100,1743.08,KG,5930.22,INR,20250828,PO-4577265816
1000,PL02,CC-MFG-02,MAT-P002,Lubricant Oil,VEND-202,334.42,L,928.0,INR,14/05/2026,PO-4568875076
