BUKRS,WERKS,KOSTL,MATNR,MAKTX,LIFNR,MENGE,MEINS,NETWR,WAERS,BUDAT,BELNR
1000,PL02,CC-UTIL-04,MAT-P006,Fuel Additive,VEND-103,476.28,L,4761.55,INR,20250615,PO-4558762647
1000,PL02,CC-LOG-03,MAT-P007,Biomass Pellets,VEND-104,1929.42,TO,8084.72,INR,2025-09-11,PO-4571570815
1000,PL02,CC-MFG-02,MAT-P003,Compressed Gas Cylinder,VEND-201,1863.17,EA,7819.31,INR,29/12/2025,PO-4550862974
1000,PL02,CC-LOG-03,MAT-P008,Generator Diesel,VEND-200,-429.22,L,2161.94,INR,14/02/2026,PO-4525941192
1000,PL02,CC-LOG-03,MAT-P003,Compressed Gas Cylinder,VEND-103,1589.51,EA,6740.04,INR,2025-10-25,PO-4500485635
1000,PL02,CC-MFG-02,MAT-P002,Lubricant Oil,VEND-104,1028.23,L,3728.6,INR,2025-09-01,PO-4527554438
1000,PL02,CC-LOG-03,MAT-P005,Refrigerant R-410A,,1509.73,KG,13978.16,INR,29.09.2025,PO-4599218351
1000,PL02,CC-OPS-01,MAT-P001,Diesel Drums 200L,,-1999.1,EA,19924.94,INR,2026-04-18,PO-4540227799
1000,PL02,CC-MFG-02,MAT-P006,Fuel Additive,,1943.08,L,15694.64,INR,20250528,PO-4552970508
1000,PL02,CC-UTIL-04,MAT-P007,Biomass Pellets,VEND-102,1589.03,TO,6801.72,INR,2025-12-09,PO-4556124893
1000,PL02,CC-UTIL-04,MAT-P003,Compressed Gas Cylinder,,751.69,EA,2766.16,INR,01.10.2025,PO-4564313577
1000,PL02,CC-OPS-01,MAT-P008,Generator Diesel,VEND-103,1346.77,L,15884.58,INR,20250827,PO-4544257809
1000,PL03,CC-LOG-03,MAT-P008,Generator Diesel,,190.68,L,1597.79,INR,20260524,PO-4578241466
1000,PL03,CC-OPS-01,MAT-P006,Fuel Additive,VEND-100,857.18,L,2779.69,INR,29/07/2025,PO-4568630375
1000,PL03,CC-UTIL-04,MAT-P004,Industrial Solvent,VEND-100,1132.77,KG,5174.08,INR,14.10.2025,PO-4525297040
1000,PL03,CC-MFG-02,MAT-P002,Lubricant Oil,VEND-200,995.09,EA,4342.99,INR,24.06.2025,PO-4594196612
1000,PL03,CC-MFG-02,MAT-P006,Fuel Additive,VEND-101,1322.57,L,13304.56,INR,15.04.2026,PO-4573192033
1000,PL03,CC-MFG-02,MAT-P002,Lubricant Oil,VEND-102,114.51,L,788.25,INR,13.11.2025,PO-4545646360
1000,PL03,CC-OPS-01,MAT-P001,Diesel Drums 200L,VEND-103,1791.51,EA,17913.3,INR,15.10.2025,PO-4566646808
1000,PL03,CC-OPS-01,MAT-P001,Diesel Drums 200L,VEND-103,500.63,EA,5570.28,INR,07.04.2026,PO-4522343594
1000,PL03,CC-LOG-03,MAT-P008,Generator Diesel,,777.58,L,3725.12,INR,03.05.2026,PO-4517816900
1000,PL03,CC-UTIL-04,MAT-P001,Diesel Drums 200L,VEND-104,1767.86,EA,17681.56,INR,20251226,PO-4505408264
1000,PL03,CC-OPS-01,MAT-P006,Fuel Additive,VEND-200,369.71,L,3208.09,INR,2025-12-06,PO-4536329280
1000,PL03,CC-UTIL-04,MAT-P004,Industrial Solvent,VEND-104,1118.55,KG,9824.37,INR,17.05.2026,PO-4523374636
1000,PL03,CC-OPS-01,MAT-P007,Biomass Pellets,VEND-104,1983.7,TO,7394.66,INR,2025-06-29,PO-4500579676
1000,PL04,CC-LOG-03,MAT-P001,Diesel Drums 200L,VEND-104,0,EA,4854.05,EUR,23.02.2026,PO-4577813289
1000,PL04,CC-UTIL-04,MAT-P007,Biomass Pellets,,340.25,TO,3842.45,EUR,20260508,PO-4522231316
1000,PL04,CC-MFG-02,MAT-P004,Industrial Solvent,VEND-101,715.57,KG,2065.8,EUR,17.07.2025,PO-4598466763
1000,PL04,CC-MFG-02,MAT-P008,Generator Diesel,,456.38,L,4780.45,EUR,15.10.2025,PO-4563809470
1000,PL04,CC-OPS-01,MAT-P004,Industrial Solvent,,386.14,KG,3362.61,EUR,02.03.2026,PO-4532280023
1000,PL04,CC-LOG-03,MAT-P004,Industrial Solvent,,1389.84,EA,8228.51,EUR,31/08/2025,PO-4575777945
1000,PL04,CC-UTIL-04,MAT-P006,Fuel Additive,VEND-100,1016.61,L,2560.74,EUR,20250709,PO-4542304230
1000,PL04,CC-LOG-03,MAT-P004,Industrial Solvent,VEND-104,1854.16,KG,15689.77,EUR,20260221,PO-4577477741
1000,PL04,CC-LOG-03,MAT-P005,Refrigerant R-410A,VEND-200,432.67,KG,2305.12,EUR,06/03/2026,PO-4526590386
1000,PL04,CC-OPS-01,MAT-P008,Generator Diesel,VEND-103,158.72,L,1835.22,EUR,2025-11-26,PO-4502423902
1000,PL04,CC-OPS-01,MAT-P006,Fuel Additive,,1885.66,L,20446.99,EUR,20260121,PO-4503898879
1000,PL04,CC-UTIL-04,MAT-P003,Compressed Gas Cylinder,VEND-101,463.16,EA,2365.54,EUR,20260115,PO-4588246495
1000,PL04,CC-UTIL-04,MAT-P007,Biomass Pellets,VEND-202,207.88,TO,2154.1,EUR,18/11/2025,PO-4543900030
1000,PL05,CC-MFG-02,MAT-P006,Fuel Additive,VEND-101,1626.38,L,7106.22,USD,22/01/2026,PO-4543763398
1000,PL05,CC-UTIL-04,MAT-P002,Lubricant Oil,VEND-103,578.41,L,2730.99,USD,20250711,PO-4580788801
1000,PL05,CC-UTIL-04,MAT-P005,Refrigerant R-410A,VEND-104,201.39,KG,1112.87,USD,2026-05-17,PO-4543070330
1000,PL05,CC-MFG-02,MAT-P004,Industrial Solvent,VEND-104,1229.7,KG,8747.03,USD,20260402,PO-4579326642
1000,PL05,CC-OPS-01,MAT-P005,Refrigerant R-410A,VEND-101,934.85,KG,6212.9,USD,20250726,PO-4585126506
1000,PL05,CC-OPS-01,MAT-P003,Compressed Gas Cylinder,,1731.78,EA,6095.71,USD,20250621,PO-4543006485
1000,PL05,CC-LOG-03,MAT-P004,Industrial Solvent,VEND-100,447.17,KG,3676.51,USD,02.04.2026,PO-4518097393
1000,PL05,CC-UTIL-04,MAT-P005,Refrigerant R-410A,VEND-104,1996.71,KG,17789.62,USD,2026-04-03,PO-4584800140
1000,PL05,CC-MFG-02,MAT-P002,Lubricant Oil,VEND-104,201.49,L,2309.13,USD,22/12/2025,PO-4597658170
1000,PL05,CC-MFG-02,MAT-P002,Lubricant Oil,VEND-104,118.5,L,930.4,USD,21/04/2026,PO-4580226489
1000,PL05,CC-LOG-03,MAT-P008,Generator Diesel,VEND-104,474.14,L,5673.8,USD,12/09/2025,PO-4585163623
1000,PL05,CC-MFG-02,MAT-P003,Compressed Gas Cylinder,,945.92,EA,2898.94,USD,09/12/2025,PO-4580781650
1000,PL05,CC-UTIL-04,MAT-P002,Lubricant Oil,,-492.25,L,2986.85,USD,20260313,PO-4501415171
1000,PL06,CC-OPS-01,MAT-P007,Biomass Pellets,VEND-100,222.43,TO,1403.07,EUR,14.04.2026,PO-4540093375
1000,PL06,CC-MFG-02,MAT-P004,Industrial Solvent,VEND-104,273.34,KG,2509.17,EUR,20250529,PO-4582734215
1000,PL06,CC-OPS-01,MAT-P002,Lubricant Oil,VEND-104,681.09,L,7927.86,EUR,2026-02-04,PO-4587069861
1000,PL06,CC-LOG-03,MAT-P005,Refrigerant R-410A,VEND-200,985.07,KG,7854.67,EUR,04.02.2026,PO-4528011139
1000,PL06,CC-LOG-03,MAT-P007,Biomass Pellets,VEND-200,1450.8,TO,16808.37,EUR,20250721,PO-4502203232
1000,PL06,CC-LOG-03,MAT-P006,Fuel Additive,,348.0,L,2115.56,EUR,22/04/2026,PO-4523218055
1000,PL06,CC-LOG-03,MAT-P006,Fuel Additive,,1401.42,L,13478.15,EUR,2026-04-05,PO-4526664101
1000,PL06,CC-UTIL-04,MAT-P003,Compressed Gas Cylinder,VEND-201,128.51,EA,1041.15,EUR,25/09/2025,PO-4579472654
1000,PL06,CC-OPS-01,MAT-P007,Biomass Pellets,VEND-102,0,TO,6184.75,EUR,20251127,PO-4549355471
1000,PL06,CC-LOG-03,MAT-P007,Biomass Pellets,,661.16,TO,2636.29,EUR,24/03/2026,PO-4554737397
1000,PL06,CC-OPS-01,MAT-P003,Compressed Gas Cylinder,VEND-104,313.03,EA,3384.26,EUR,21/03/2026,PO-4519114756
1000,PL06,CC-UTIL-04,MAT-P004,Industrial Solvent,VEND-104,852.04,KG,6220.13,EUR,20260111,PO-4546388576
1000,PL06,CC-LOG-03,MAT-P001,Diesel Drums 200L,VEND-101,1797.68,EA,7009.08,EUR,27.06.2025,PO-4568111246
1000,PL01,CC-UTIL-04,MAT-P007,Biomass Pellets,,1085.08,TO,9608.52,INR,11.04.2026,PO-4550194716
1000,PL01,CC-LOG-03,MAT-P002,Lubricant Oil,VEND-202,951.07,L,10416.64,INR,20.07.2025,PO-4528967313
1000,PL02,CC-UTIL-04,MAT-P006,Fuel Additive,VEND-103,476.28,L,4761.55,INR,20250615,PO-4558762647
1000,PL01,CC-LOG-03,MAT-P007,Biomass Pellets,VEND-102,1729.91,TO,6456.38,INR,20251002,PO-4596191161
